investor_id,name,age,investment_amount,investment_date
1001,"Daniel Nelson",18,1000.00,01-01-2024
1002,"Henry Nelson",35,1079.19,02-01-2024
1003,"Kathleen Nelson",52,1158.38,03-01-2024
1004,"Melinda Nelson",69,1237.57,04-01-2024
1005,"Jasmine Nelson",86,1316.76,05-01-2024
1006,"Anthony Nelson",30,1395.95,06-01-2024
1007,"Susan Nelson",47,1475.14,07-01-2024
1008,"Michael Nelson",64,1554.33,08-01-2024
1009,"Darlene Nelson",81,1633.52,09-01-2024
1010,"Robert Nelson",25,1712.71,10-01-2024
1011,"Sarah Nelson",42,1791.90,11-01-2024
1012,"David Nelson",59,1871.09,12-01-2024
1013,"Emma Nelson",76,1950.28,13-01-2024
1014,"James Nelson",20,2029.47,14-01-2024
1015,"Olivia Nelson",37,2108.66,15-01-2024
1016,"William Nelson",54,2187.85,16-01-2024
1017,"Sophia Nelson",71,2267.04,17-01-2024
1018,"Thomas Nelson",88,2346.23,18-01-2024
1019,"Charlotte Nelson",32,2425.42,19-01-2024
1020,"George Nelson",49,2504.61,20-01-2024
1021,"Daniel Gill",66,2583.80,21-01-2024
1022,"Henry Gill",83,2662.99,22-01-2024
1023,"Kathleen Gill",27,2742.18,23-01-2024
1024,"Melinda Gill",44,2821.37,24-01-2024
1025,"Jasmine Gill",61,2900.56,25-01-2024
1026,"Anthony Gill",78,2979.75,26-01-2024
1027,"Susan Gill",22,3058.94,27-01-2024
1028,"Michael Gill",39,3138.13,28-01-2024
1029,"Darlene Gill",56,3217.32,29-01-2024
1030,"Robert Gill",73,3296.51,30-01-2024
1031,"Sarah Gill",90,3375.70,31-01-2024
1032,"David Gill",34,3454.89,01-02-2024
1033,"Emma Gill",51,3534.08,02-02-2024
1034,"James Gill",68,3613.27,03-02-2024
1035,"Olivia Gill",85,3692.46,04-02-2024
1036,"William Gill",29,3771.65,05-02-2024
1037,"Sophia Gill",46,3850.84,06-02-2024
1038,"Thomas Gill",63,3930.03,07-02-2024
1039,"Charlotte Gill",80,4009.22,08-02-2024
1040,"George Gill",24,4088.41,09-02-2024
1041,"Daniel Cox",41,4167.60,10-02-2024
1042,"Henry Cox",58,4246.79,11-02-2024
1043,"Kathleen Cox",75,4325.98,12-02-2024
1044,"Melinda Cox",19,4405.17,13-02-2024
1045,"Jasmine Cox",36,4484.36,14-02-2024
1046,"Anthony Cox",53,4563.55,15-02-2024
1047,"Susan Cox",70,4642.74,16-02-2024
1048,"Michael Cox",87,4721.93,17-02-2024
1049,"Darlene Cox",31,4801.12,18-02-2024
1050,"Robert Cox",48,4880.31,19-02-2024
1051,"Sarah Cox",65,4959.50,20-02-2024
1052,"David Cox",82,5038.69,21-02-2024
1053,"Emma Cox",26,5117.88,22-02-2024
1054,"James Cox",43,5197.07,23-02-2024
1055,"Olivia Cox",60,5276.26,24-02-2024
1056,"William Cox",77,5355.45,25-02-2024
1057,"Sophia Cox",21,5434.64,26-02-2024
1058,"Thomas Cox",38,5513.83,27-02-2024
1059,"Charlotte Cox",55,5593.02,28-02-2024
1060,"George Cox",72,5672.21,29-02-2024
1061,"Daniel Roberts",89,5751.40,01-03-2024
1062,"Henry Roberts",33,5830.59,02-03-2024
1063,"Kathleen Roberts",50,5909.78,03-03-2024
1064,"Melinda Roberts",67,5988.97,04-03-2024
1065,"Jasmine Roberts",84,6068.16,05-03-2024
1066,"Anthony Roberts",28,6147.35,06-03-2024
1067,"Susan Roberts",45,6226.54,07-03-2024
1068,"Michael Roberts",62,6305.73,08-03-2024
1069,"Darlene Roberts",79,6384.92,09-03-2024
1070,"Robert Roberts",23,6464.11,10-03-2024
